codigo_estacao;data;hora;temp_inst;temp_max;temp_min;umid_inst;umid_max;umid_min;pto_orvalho_inst;pto_orvalho_max;pto_orvalho_min;pressao;pressao_max;pressao_min;vento_direcao;vento-vel;vento_rajada;radiacao;precipitacao
;;;;;;;;;;;;;;;;;;;
A372;29/05/2019;23;26.3;27.0;26.3;82;83;77;23.0;23.1;22.6;1010.8;1010.8;1010.2;1.5;53;3.5;-3.12;0.0
A372;29/05/2019;22;27.0;27.3;26.9;77;78;75;22.7;22.8;22.5;1010.2;1010.2;1009.4;0.5;96;4.9;-2.95;0.0
A372;29/05/2019;21;27.3;28.5;27.3;75;77;72;22.6;23.2;22.5;1009.4;1009.4;1009.0;1.4;83;5.5;6.227;0.0
A372;29/05/2019;20;28.2;30.2;28.2;73;81;62;23.0;24.9;22.4;1009.0;1009.1;1008.7;2.9;89;5.1;161.9;0.2
A372;29/05/2019;19;30.0;30.3;28.7;62;79;62;22.0;25.2;22.0;1008.7;1008.7;1008.0;2.5;103;5.6;572.8;0.2
A372;29/05/2019;18;28.9;34.4;27.8;79;81;43;24.8;24.9;19.9;1008.2;1008.6;1008.1;0.8;221;5.7;821.4;2.0
A372;29/05/2019;17;34.1;34.9;32.6;47;49;43;21.3;21.8;20.2;1008.4;1009.2;1008.4;1.9;167;3.5;2277.;0.0
A372;29/05/2019;16;32.9;34.1;32.2;49;54;46;20.7;22.2;19.9;1009.2;1009.9;1009.2;1.0;122;5.9;2036.;0.0
A372;29/05/2019;15;33.2;33.9;32.6;49;53;46;21.0;21.9;20.2;1009.9;1011.1;1009.9;3.2;126;8.2;3229.;0.0
A372;29/05/2019;14;32.7;32.8;31.2;49;56;48;20.5;21.8;20.1;1011.1;1011.9;1011.1;4.2;105;8.8;3233.;0.0
A372;29/05/2019;13;31.7;31.7;29.1;54;68;54;21.3;22.7;21.0;1011.9;1012.3;1011.9;4.1;111;8.8;2787.;0.0
A372;29/05/2019;12;29.4;29.5;27.1;66;77;64;22.3;23.0;21.7;1012.3;1012.4;1012.1;2.0;149;4.4;2153.;0.0
A372;29/05/2019;11;27.4;27.4;24.7;77;89;76;23.0;23.4;22.4;1012.1;1012.1;1011.5;0.4;171;2.0;1355.;0.0
A372;29/05/2019;10;24.7;24.7;21.0;90;97;89;22.9;22.9;20.5;1011.5;1011.5;1010.8;0.0;223;0.0;578.3;0.0
A372;29/05/2019;9;21.0;21.9;20.8;97;97;96;20.4;21.4;20.2;1010.8;1010.8;1010.3;0.0;86;1.3;30.65;0.0
A372;29/05/2019;8;21.7;22.0;21.6;97;97;97;21.1;21.5;21.0;1010.3;1010.3;1009.8;0.0;165;1.5;-3.08;0.0
A372;29/05/2019;7;21.9;22.3;21.7;97;97;96;21.4;21.8;21.2;1009.8;1009.8;1009.5;0.0;163;0.0;-3.19;0.0
A372;29/05/2019;6;21.7;22.3;21.7;96;96;95;21.1;21.6;21.1;1009.6;1009.8;1009.6;0.0;239;1.0;-3.35;0.0
A372;29/05/2019;5;22.2;23.7;22.0;95;95;92;21.3;22.3;21.1;1009.8;1010.4;1009.8;0.1;6;2.8;-3.60;0.0
A372;29/05/2019;4;23.6;23.6;23.2;92;94;92;22.3;22.4;22.1;1010.4;1011.0;1010.4;1.0;38;3.0;-3.60;0.0
A372;29/05/2019;3;23.4;23.7;23.4;92;93;92;22.1;22.4;22.1;1011.0;1011.4;1011.0;1.3;20;2.0;-3.60;0.0
A372;29/05/2019;2;23.4;24.2;23.4;93;93;90;22.1;22.5;22.1;1011.4;1011.4;1011.1;0.7;1;1.6;-3.60;0.0
A372;29/05/2019;1;24.1;25.2;24.1;90;90;87;22.4;22.9;22.4;1011.2;1011.2;1010.7;0.0;349;2.1;-3.60;0.0
A372;29/05/2019;0;25.2;27.3;25.2;87;87;73;22.9;23.1;22.2;1010.7;1010.7;1010.3;0.0;333;1.6;-3.60;0.0
